,Checkpoint Step,Accuracy (normalized),Task,Language
0,0.0,0.0022762922227426144,dev_BLEX,el
1,0.08163265306122448,0.00314034396120793,dev_BLEX,el
2,0.16326530612244897,0.004330955090612262,dev_BLEX,el
3,0.24489795918367346,0.005970263891753551,dev_BLEX,el
4,0.32653061224489793,0.008224941355553288,dev_BLEX,el
5,0.4081632653061224,0.011321402656295753,dev_BLEX,el
6,0.4897959183673469,0.015565299941462694,dev_BLEX,el
7,0.5714285714285714,0.021365669364502442,dev_BLEX,el
8,0.6530612244897959,0.029263279216517883,dev_BLEX,el
9,0.7346938775510203,0.039960959133240014,dev_BLEX,el
10,0.8163265306122448,0.05435039809620996,dev_BLEX,el
11,0.8979591836734693,0.0735244719392033,dev_BLEX,el
12,0.9795918367346939,0.09875647820341042,dev_BLEX,el
13,1.0612244897959182,0.13141928414979995,dev_BLEX,el
14,1.1428571428571428,0.1728135534629226,dev_BLEX,el
15,1.2244897959183672,0.22388537872250125,dev_BLEX,el
16,1.3061224489795917,0.28485293740516654,dev_BLEX,el
17,1.3877551020408163,0.3548324526559952,dev_BLEX,el
18,1.4693877551020407,0.43162763886385913,dev_BLEX,el
19,1.5510204081632653,0.5118571098297156,dev_BLEX,el
20,1.6326530612244896,0.5914802822372186,dev_BLEX,el
21,1.7142857142857142,0.6665759534128023,dev_BLEX,el
22,1.7959183673469385,0.7340736222968329,dev_BLEX,el
23,1.8775510204081631,0.7921675447532043,dev_BLEX,el
24,1.9591836734693877,0.8403308064893125,dev_BLEX,el
25,2.0408163265306123,0.8790370057057382,dev_BLEX,el
26,2.1224489795918364,0.9093721753421622,dev_BLEX,el
27,2.204081632653061,0.9326824614152428,dev_BLEX,el
28,2.2857142857142856,0.950324649986048,dev_BLEX,el
29,2.36734693877551,0.9635240975192251,dev_BLEX,el
30,2.4489795918367343,0.9733147489242832,dev_BLEX,el
31,2.530612244897959,0.9805305518086403,dev_BLEX,el
32,2.6122448979591835,0.9858235907223022,dev_BLEX,el
33,2.693877551020408,0.9896927702228842,dev_BLEX,el
34,2.7755102040816326,0.9925139503439983,dev_BLEX,el
35,2.8571428571428568,0.9945671872784002,dev_BLEX,el
36,2.9387755102040813,0.9960595083025433,dev_BLEX,el
37,3.020408163265306,0.9971430861970604,dev_BLEX,el
38,3.1020408163265305,0.9979293153723581,dev_BLEX,el
39,3.1836734693877546,0.9984994980875869,dev_BLEX,el
40,3.265306122448979,0.9989128466097176,dev_BLEX,el
41,3.346938775510204,0.9992124183793594,dev_BLEX,el
42,3.4285714285714284,0.9994294884609336,dev_BLEX,el
43,3.510204081632653,0.9995867553019521,dev_BLEX,el
44,3.591836734693877,0.9997006830509437,dev_BLEX,el
45,3.6734693877551017,0.9997832087830678,dev_BLEX,el
46,3.7551020408163263,0.9998429846281197,dev_BLEX,el
47,3.836734693877551,0.9998862803533746,dev_BLEX,el
48,3.9183673469387754,0.9999176386142231,dev_BLEX,el
49,4.0,0.9999403503316642,dev_BLEX,el
0,0.0,0.0010642807536208306,dev_CLAS,el
1,0.08163265306122448,0.0015618813253909414,dev_CLAS,el
2,0.16326530612244897,0.002291599511907883,dev_CLAS,el
3,0.24489795918367346,0.0033610977297439614,dev_CLAS,el
4,0.32653061224489793,0.0049272697972617685,dev_CLAS,el
5,0.4081632653061224,0.007217946347630211,dev_CLAS,el
6,0.4897959183673469,0.010562249472971899,dev_CLAS,el
7,0.5714285714285714,0.015431988095897601,dev_CLAS,el
8,0.6530612244897959,0.022495879036576655,dev_CLAS,el
9,0.7346938775510203,0.032685874874330424,dev_CLAS,el
10,0.8163265306122448,0.047268448266016484,dev_CLAS,el
11,0.8979591836734693,0.06790025419325216,dev_CLAS,el
12,0.9795918367346939,0.0966241527399224,dev_CLAS,el
13,1.0612244897959182,0.1357297369411249,dev_CLAS,el
14,1.1428571428571428,0.18737927153709089,dev_CLAS,el
15,1.2244897959183672,0.252931225224981,dev_CLAS,el
16,1.3061224489795917,0.3320451718772833,dev_CLAS,el
17,1.3877551020408163,0.42192905388312935,dev_CLAS,el
18,1.4693877551020407,0.5173007607167944,dev_CLAS,el
19,1.5510204081632653,0.6114284898361354,dev_CLAS,el
20,1.6326530612244896,0.697919639654432,dev_CLAS,el
21,1.7142857142857142,0.7723275889435673,dev_CLAS,el
22,1.7959183673469385,0.8327983686391497,dev_CLAS,el
23,1.8775510204081631,0.8797094065762605,dev_CLAS,el
24,1.9591836734693877,0.9148052439207498,dev_CLAS,el
25,2.0408163265306123,0.9403558006472255,dev_CLAS,el
26,2.1224489795918364,0.9585904153544595,dev_CLAS,el
27,2.204081632653061,0.9714197190307529,dev_CLAS,el
28,2.2857142857142856,0.9803557671305134,dev_CLAS,el
29,2.36734693877551,0.9865365508940067,dev_CLAS,el
30,2.4489795918367343,0.9907909050496617,dev_CLAS,el
31,2.530612244897959,0.9937094855870517,dev_CLAS,el
32,2.6122448979591835,0.9957071064463023,dev_CLAS,el
33,2.693877551020408,0.997072230240284,dev_CLAS,el
34,2.7755102040816326,0.9980041200242503,dev_CLAS,el
35,2.8571428571428568,0.9986398000822936,dev_CLAS,el
36,2.9387755102040813,0.9990732065141903,dev_CLAS,el
37,3.020408163265306,0.9993686020781839,dev_CLAS,el
38,3.1020408163265305,0.9995698871691008,dev_CLAS,el
39,3.1836734693877546,0.999707022840523,dev_CLAS,el
40,3.265306122448979,0.9998004433830053,dev_CLAS,el
41,3.346938775510204,0.9998640793129542,dev_CLAS,el
42,3.4285714285714284,0.9999074244769085,dev_CLAS,el
